Plant,Month,Day,Year,Treatment,Plot,Quadrat,D_Height,D_X,D_Y
1,7,18,2019,1,2,7,0,0,0
2,7,18,2019,1,2,7,5,23,38
3,7,19,2019,1,2,7,4.6,11.4,11.8
4,7,19,2019,1,2,7,0,0,0
5,7,19,2019,1,2,7,1.5,12,13.7
6,7,19,2019,1,2,7,1.6,7.2,8.3
7,7,19,2019,1,2,7,8,25.8,26
8,7,19,2019,1,2,7,1.3,7,9.7
9,7,19,2019,1,2,7,6,18,19
10,7,19,2019,1,2,5,2,9,10.5
11,7,19,2019,1,2,5,6.5,28,29
12,7,19,2019,1,2,5,1.6,11,12
13,7,19,2019,1,2,5,6,17,19.2
14,7,19,2019,1,2,5,4,7.5,8.5
15,7,19,2019,1,2,5,4.5,15.2,17
16,7,19,2019,1,2,5,3,17.8,18
17,7,19,2019,1,2,5,4,23,28.2
18,7,25,2019,1,2,3,6.8,20.2,30
19,7,25,2019,1,2,3,4.5,55,56
20,7,25,2019,1,2,3,3.4,7,12
21,7,25,2019,1,2,3,5.8,21,24.5
22,7,25,2019,1,2,3,5,10,13
23,7,29,2019,1,3,8,4,16,20.5
24,7,29,2019,1,3,8,1.5,2.7,3.3
25,7,29,2019,1,3,8,1,6,7.5
26,7,29,2019,1,3,8,5,12,27
27,7,29,2019,1,3,8,2,4.5,6.5
28,7,29,2019,1,3,8,8,7.5,8
29,7,29,2019,1,3,8,2,8,9.6
30,7,29,2019,1,3,8,1.8,5,7.3
31,7,29,2019,1,3,8,4,10.4,12.4
32,7,29,2019,1,3,8,3.2,10,12
33,7,29,2019,1,3,8,5.9,26,32
34,7,29,2019,1,3,8,7,27.3,35
35,7,29,2019,1,3,8,3.5,12.5,15.5
36,7,29,2019,1,3,1,5.4,13,31
37,7,29,2019,1,3,1,7.6,45,61
38,7,29,2019,1,3,1,5.2,39,44
39,7,29,2019,1,3,1,3.9,7,9
40,7,29,2019,1,3,1,2.5,4.2,4.2
41,7,29,2019,1,3,1,5,8,8
42,7,29,2019,1,4,2,4,6.5,8
43,7,29,2019,1,4,2,9,43,58
44,7,29,2019,1,4,2,8.2,16.5,44
45,7,29,2019,1,4,2,9.6,17,18.3
46,7,29,2019,1,4,2,7.7,20,20
47,7,29,2019,1,4,6,7,30,52
48,7,29,2019,1,4,6,7.8,37,39.5
49,7,29,2019,1,4,6,2.9,8,8.5
50,7,29,2019,1,4,6,5.5,16,41
51,7,29,2019,1,4,6,3.4,8.5,10
52,7,29,2019,1,4,6,2.7,6,8
53,7,29,2019,1,4,6,2.5,6.6,9
54,7,31,2019,1,19,5,4.8,16.5,25.6
55,7,31,2019,1,19,5,4.9,21,61
56,7,31,2019,1,19,5,3.5,25.6,39.2
57,7,31,2019,1,19,5,6,15.7,18
58,7,31,2019,1,19,5,1.6,3.2,3.5
59,7,31,2019,1,19,5,4.9,29,32.5
60,7,31,2019,1,19,5,6,12,15.5
61,7,31,2019,1,19,5,4.1,15,15.5
62,7,31,2019,1,19,5,1.8,11.6,14
63,7,31,2019,1,19,5,1.2,3.5,3.9
64,7,31,2019,1,19,5,2.5,7.4,12
65,7,31,2019,1,19,2,2.5,12,13.4
66,7,31,2019,1,19,2,4.2,28.3,39
67,7,31,2019,1,19,2,3,8.3,9
68,7,31,2019,1,19,2,2.8,10,17
69,7,31,2019,1,19,2,6.4,21,32
70,7,31,2019,1,19,2,5.5,14.5,20
71,7,31,2019,1,19,2,4,14,19
72,8,5,2019,1,20,2,6.5,28,28
73,8,5,2019,1,20,2,7,37,38
74,8,5,2019,1,20,2,3,47.6,93
75,8,5,2019,1,20,2,5,13.3,18
76,8,5,2019,1,20,2,1,4.5,4.7
77,8,5,2019,1,20,2,2,6,6.5
78,8,5,2019,1,20,6,4.6,23.2,28
79,8,5,2019,1,20,6,1.8,7.3,9.5
80,8,5,2019,1,20,6,1.5,0,0
81,8,5,2019,1,20,6,3.3,18,28.2
82,8,5,2019,1,20,6,2.5,8.5,9
83,8,5,2019,1,20,6,8,29,36.5
84,8,5,2019,1,20,6,1.7,4.5,9.3
85,8,5,2019,1,20,6,2.8,9,10.6
86,8,5,2019,1,20,6,1.4,5,5
87,8,5,2019,1,20,6,4.5,12.7,14.2
88,8,5,2019,1,20,6,3.9,8.4,11
89,8,5,2019,1,20,6,3,6.5,10.5
90,8,5,2019,1,22,1,4.6,74.5,97
91,8,5,2019,1,22,1,6,22.4,24.8
92,8,5,2019,1,22,1,4.8,12.8,15
93,8,5,2019,1,22,1,4.2,11.7,22.3
94,8,5,2019,1,22,1,3.7,11,13.5
95,8,5,2019,1,22,1,3,18,30
96,8,5,2019,1,22,3,8,44.6,46
97,8,5,2019,1,22,3,5.2,19,21
98,8,5,2019,1,22,3,6.5,57.7,61.5
99,8,5,2019,1,22,3,6,18,22.6
100,8,5,2019,1,26,2,3.7,11,11.2
101,8,5,2019,1,26,2,4,25,25.7
102,8,5,2019,1,26,2,5.7,16.5,22
103,8,5,2019,1,26,2,5.4,15,16.5
104,8,5,2019,1,26,2,5,24.7,30
105,8,5,2019,1,26,2,1.5,3.7,4.5
106,8,5,2019,1,26,2,5.2,35,40
107,8,5,2019,1,26,2,3.3,8,10
108,8,5,2019,1,26,2,2,29,30
109,8,5,2019,1,26,2,3,6.5,12.5
110,8,5,2019,1,26,4,2.5,8.5,9.5
111,8,5,2019,1,26,4,1.5,7.4,8
112,8,5,2019,1,26,4,4.4,13,18
113,8,6,2019,1,26,4,7.5,37,52
114,8,6,2019,1,26,4,3.2,14.5,18
115,8,6,2019,1,26,4,1.5,6,6
116,8,6,2019,1,26,4,6.5,41,52
117,8,6,2019,1,26,4,3,6.6,6.7
118,8,6,2019,1,23,5,4.5,15,20
119,8,6,2019,1,23,5,3,12,23
120,8,6,2019,1,23,5,6,31,32.6
121,8,6,2019,1,23,5,4,10,16
122,8,6,2019,1,23,7,2,8.2,12.6
123,8,6,2019,1,23,7,2.2,9,11
124,8,6,2019,1,23,7,2.7,10.5,14.5
125,8,6,2019,1,23,7,4,9.8,16
126,8,6,2019,1,23,7,3.7,11,13
127,8,6,2019,1,23,7,1.5,5.5,6.2
128,8,6,2019,1,23,7,3,6,8
129,8,6,2019,1,23,7,2.3,7.4,8.3
130,8,6,2019,1,23,7,2.3,9,10
131,8,6,2019,1,23,7,2.5,9,13
132,8,6,2019,1,23,7,4,11.7,14
133,8,6,2019,1,23,7,4.4,16,20
134,8,6,2019,1,23,7,3.6,10,11
135,8,6,2019,1,23,7,4,12.2,15
136,7,25,2019,2,5,5,4,15,17
137,7,25,2019,2,5,5,4.8,18,20.5
138,7,25,2019,2,5,5,2,9,9
139,7,25,2019,2,5,5,6.5,96,97
140,7,25,2019,2,5,6,2.9,12,12.5
141,7,25,2019,2,5,6,2,18,31
142,7,25,2019,2,5,6,11,36,58
143,7,25,2019,2,5,6,6,9,11
144,7,25,2019,2,5,6,1,10.5,21
145,7,25,2019,2,5,6,6.4,15,15
146,7,25,2019,2,5,6,7.8,20.2,24
147,7,25,2019,2,5,1,9.5,30.5,31.5
148,7,25,2019,2,5,1,6.4,48,50
149,7,25,2019,2,5,1,4,21,24
150,7,25,2019,2,5,1,4,19.6,28.5
151,7,25,2019,2,5,1,1.1,4,4.5
152,7,25,2019,2,5,1,6.6,17.4,19
153,7,25,2019,2,5,1,2,18.5,23.3
154,7,29,2019,2,9,4,9.2,31.5,42
155,7,29,2019,2,9,4,4.4,14.2,19.4
156,7,29,2019,2,9,4,3.6,26,53
157,7,29,2019,2,9,8,3,29,47
158,7,29,2019,2,9,8,3.7,8,8
159,7,29,2019,2,9,8,3.4,11,14.6
160,7,29,2019,2,9,8,5.6,50,73
161,7,29,2019,2,9,8,5,12,17
162,7,30,2019,2,11,3,1.8,31,32
163,7,30,2019,2,11,3,6.9,17.3,19
164,7,30,2019,2,11,3,5.7,15,17
165,7,30,2019,2,11,3,5.9,61.7,63
166,7,30,2019,2,11,3,1.6,8,11
167,7,30,2019,2,11,3,7.8,17,18
168,7,30,2019,2,11,1,3.7,9.4,15
169,7,30,2019,2,11,1,6.6,23.2,26.5
170,7,30,2019,2,11,1,4.5,20,23
171,7,30,2019,2,11,1,3,20.5,24
172,7,30,2019,2,11,1,2.4,18,19
173,7,31,2019,2,14,2,3.7,21,22
174,7,31,2019,2,14,2,6.2,22,24.5
175,7,31,2019,2,14,2,6.7,10.9,23.7
176,7,31,2019,2,14,2,3.8,28,35
177,7,31,2019,2,14,2,4.8,14.6,15
178,7,31,2019,2,14,2,4.5,42.5,53
179,7,31,2019,2,14,2,2.9,11.4,27
180,7,31,2019,2,14,6,7.3,16,24.5
181,7,31,2019,2,14,6,5.5,10,13.3
182,7,31,2019,2,14,6,3.6,9,10.7
183,7,31,2019,2,14,6,5.4,23.5,29
184,7,31,2019,2,14,6,6.2,29,50
185,7,31,2019,2,14,6,6,66.6,79
186,8,6,2019,2,25,3,7.6,83,85
187,8,6,2019,2,25,3,6.8,32,52
188,8,6,2019,2,25,6,2.6,8.7,10.1
189,8,6,2019,2,25,6,8,25.3,37
190,8,6,2019,2,25,6,10,32.5,37.2
191,8,6,2019,2,25,6,10,50,77
192,8,6,2019,2,25,6,5.3,31.7,54
193,8,6,2019,2,25,6,7,17,24
194,8,6,2019,2,31,1,7,23,29
195,8,6,2019,2,31,1,4.5,19,23
196,8,6,2019,2,31,1,2.5,7.5,8
197,8,6,2019,2,31,1,2.7,8.5,8.6
198,8,6,2019,2,31,1,2,6,8
199,8,6,2019,2,31,1,4.5,20,21.8
200,8,6,2019,2,31,1,5.5,70,94
201,8,6,2019,2,31,2,2.9,9.4,13
202,8,6,2019,2,31,2,4,25.7,32
203,8,6,2019,2,31,2,3,10.2,11.5
204,8,6,2019,2,31,2,1.7,7.6,8
205,8,6,2019,2,31,2,3.7,6.5,7.3
206,8,6,2019,2,31,2,5.5,9.5,14
207,8,6,2019,2,31,2,7,58,83
208,8,7,2019,2,33,3,2,5,5.5
209,8,7,2019,2,33,3,6.5,78.3,105
210,8,7,2019,2,33,3,6,14.5,18.7
211,8,7,2019,2,33,3,3.5,22.2,31
212,8,7,2019,2,33,6,7,12.5,31.2
213,8,7,2019,2,33,6,4.6,23,57.2
214,8,7,2019,2,33,6,2.2,9,14
215,8,7,2019,2,33,6,5,12.5,17.1
216,8,7,2019,2,33,6,3.5,8,11
217,8,7,2019,2,33,6,4.5,11,20
218,8,7,2019,2,33,6,3.6,9.5,10.2
219,8,7,2019,2,33,6,2,4.2,5.2
220,8,7,2019,2,33,6,4.5,14,14.3
221,8,7,2019,2,33,6,3,32,52
222,8,12,2019,2,38,3,1.5,8,8.3
223,8,12,2019,2,38,3,2.6,8.5,9
224,8,12,2019,2,38,3,3.8,10.7,14
225,8,12,2019,2,38,3,5,22,25
226,8,12,2019,2,38,3,4,13.5,21
227,8,12,2019,2,38,3,7,33,53
228,8,12,2019,2,38,3,5,20,27
229,8,12,2019,2,38,3,5,18,36
230,8,12,2019,2,38,5,4.6,8,14
231,8,12,2019,2,38,5,7,32,39
232,8,12,2019,2,38,5,5,11,16
233,8,12,2019,2,38,5,3.3,10,10.6
234,8,12,2019,2,38,5,5.5,27,28
235,7,26,2019,3,6,8,4.6,25.6,63
236,7,26,2019,3,6,8,2.8,9,12.2
237,7,26,2019,3,6,8,2,10,10.2
238,7,26,2019,3,6,8,4.9,19,23.5
239,7,26,2019,3,6,8,8.5,41,65
240,7,26,2019,3,6,8,4,14,15
241,7,26,2019,3,6,8,6.3,36.1,82.2
242,7,26,2019,3,6,8,7.5,33.2,37.6
243,7,26,2019,3,6,2,5.6,8.3,10.2
244,7,26,2019,3,6,2,7.2,22.5,25
245,7,26,2019,3,6,2,8,37.2,55
246,7,26,2019,3,6,2,3.5,7.5,9
247,7,26,2019,3,6,2,6.5,18,19.5
248,7,26,2019,3,6,2,4.4,8.4,10.6
249,7,30,2019,3,13,4,3,10,12.8
250,7,30,2019,3,13,4,6,11.4,14.5
251,7,30,2019,3,13,4,3.5,13.7,20
252,7,30,2019,3,13,4,4.2,10.6,14.2
253,7,30,2019,3,13,4,1.7,7.6,9
254,7,30,2019,3,13,4,7,65,74
255,7,30,2019,3,13,4,5.6,41,50
256,7,30,2019,3,13,7,3,11,12.5
257,7,30,2019,3,13,7,4.8,29,35
258,7,30,2019,3,13,7,7.8,49.4,72
259,7,30,2019,3,13,7,8,56,83.8
260,7,30,2019,3,13,7,1.5,10,11.2
261,7,31,2019,3,15,6,4,10,22
262,7,31,2019,3,15,6,5.6,24,25
263,7,31,2019,3,15,6,5.4,48,63
264,7,31,2019,3,15,6,5.4,63.7,70
265,7,31,2019,3,15,6,3,12,13
266,7,31,2019,3,15,7,3.7,12,13
267,7,31,2019,3,15,7,1.8,5.6,7.5
268,7,31,2019,3,15,7,3.2,8.6,10.7
269,7,31,2019,3,15,7,3,15,16
270,7,31,2019,3,15,7,4.6,100,124
271,8,6,2019,3,24,5,4,26,40
272,8,6,2019,3,24,5,10,93,115.8
273,8,6,2019,3,24,5,5.8,15,18
274,8,6,2019,3,24,6,5,10.7,11
275,8,6,2019,3,24,6,4.3,11.7,12
276,8,6,2019,3,24,6,8.2,84,95.6
277,8,6,2019,3,28,5,4,13,13.5
278,8,6,2019,3,28,5,3.5,36,52
279,8,6,2019,3,28,5,4,13.6,14
280,8,6,2019,3,28,5,8.5,18,27
281,8,6,2019,3,28,5,8,54,59
282,8,6,2019,3,28,5,4,25.7,45.6
283,8,6,2019,3,28,8,2,7,7.7
284,8,6,2019,3,28,8,8.2,90,100
285,8,6,2019,3,28,8,4,22,23
286,8,6,2019,3,28,8,5.7,16,21
287,8,7,2019,3,40,1,8,12,16
288,8,7,2019,3,40,1,3,9,10.6
289,8,7,2019,3,40,1,2,8,11.6
290,8,7,2019,3,40,1,3,17.5,21.4
291,8,7,2019,3,40,1,2,8,9
292,8,7,2019,3,40,1,5.5,46,58
293,8,7,2019,3,40,6,4,11,12
294,8,7,2019,3,40,6,2.3,8,11
295,8,7,2019,3,40,6,3.5,18.3,30
296,8,7,2019,3,40,6,3.5,44,48.4
297,8,7,2019,3,40,6,5.5,14.5,18
298,8,7,2019,3,40,6,3,6.5,7
299,8,7,2019,3,40,6,3.5,37,40
300,8,11,2019,3,35,2,4,6.4,6.5
301,8,11,2019,3,35,2,4.3,5.4,10.4
302,8,11,2019,3,35,2,2.5,6.8,7.4
303,8,11,2019,3,35,2,3.5,11.5,12
304,8,11,2019,3,35,2,4.5,12.6,23
305,8,11,2019,3,35,2,4.5,7,12.3
306,8,11,2019,3,35,2,6.5,19,21.2
307,8,11,2019,3,35,2,8.5,35,77.7
308,8,11,2019,3,35,7,6.5,38,48
309,8,11,2019,3,35,7,1.7,9.3,9.8
310,8,11,2019,3,35,7,5,14.3,21.5
311,8,11,2019,3,35,7,8.2,62,102
312,8,11,2019,3,36,3,6,41,44
313,8,11,2019,3,36,3,5,12,12
314,8,11,2019,3,36,3,5.2,12.3,30.5
315,8,11,2019,3,36,3,7,36,53.6
316,8,11,2019,3,36,3,7.5,33.7,46
317,8,11,2019,3,36,3,2,5,5
318,8,11,2019,3,36,3,3.5,8,12.5
319,8,11,2019,3,36,7,3,9,12
320,8,11,2019,3,36,7,7,24,33
321,8,11,2019,3,36,7,5.7,15,20.7
322,8,11,2019,3,36,7,5.5,11,14
323,8,11,2019,3,36,7,4,8,9
324,8,11,2019,3,36,7,4.7,41,44
325,8,11,2019,3,36,7,2.5,5.2,5.5
326,8,11,2019,3,36,7,2,6,7
327,7,18,2019,4,1,4,4.5,20,58
328,7,18,2019,4,1,4,7.5,14.5,22
329,7,18,2019,4,1,4,2,7,9
330,7,18,2019,4,1,4,5.5,8.5,10.5
331,7,18,2019,4,1,4,6,69,104.5
332,7,18,2019,4,1,4,8.5,25.8,67
333,7,18,2019,4,1,1,8,23.5,33
334,7,18,2019,4,1,1,6,24,42
335,7,18,2019,4,1,1,3.4,10,14
336,7,18,2019,4,1,1,5.4,16,19.5
337,7,18,2019,4,1,1,8,69.5,104
338,7,18,2019,4,1,1,8.3,25.2,27
339,7,25,2019,4,1,3,3.2,7.5,8.5
340,7,25,2019,4,1,3,1.5,4.5,4.7
341,7,25,2019,4,1,3,8.5,32.5,46
342,7,25,2019,4,1,3,3,6.5,7
343,7,25,2019,4,1,3,8,17.3,42
344,7,25,2019,4,1,3,6.8,21.4,29
345,7,25,2019,4,1,3,5,11,12
346,7,25,2019,4,1,3,9,28,58
347,7,29,2019,4,8,5,9,47,84.5
348,7,29,2019,4,8,5,9.6,42,56
349,7,29,2019,4,8,5,11,27,38
350,7,29,2019,4,8,4,8,16,24.3
351,7,29,2019,4,8,4,9.6,35,50.5
352,7,29,2019,4,8,4,1.2,63,81.5
353,7,30,2019,4,12,6,2.8,25.8,26.6
354,7,30,2019,4,12,6,2.5,6.8,8
355,7,30,2019,4,12,6,5.7,24.2,33
356,7,30,2019,4,12,6,10,53,124.5
357,7,30,2019,4,12,7,6.5,50,61
358,7,30,2019,4,12,7,6.7,72,78.3
359,7,30,2019,4,12,7,9,43.4,49
360,7,30,2019,4,12,7,4,13,14
361,7,30,2019,4,12,7,2.3,7,9.5
362,8,2,2019,4,17,5,4.5,16,18.5
363,8,2,2019,4,17,5,2.6,4.2,6.4
364,8,2,2019,4,17,5,3.2,12,13.2
365,8,2,2019,4,17,5,2.6,9.2,11
366,8,2,2019,4,17,5,6.8,24,33
367,8,2,2019,4,17,5,7,25.3,25.5
368,8,2,2019,4,17,5,4.4,9,12.2
369,8,2,2019,4,17,5,5.5,19,36.8
370,8,2,2019,4,17,5,7,10.4,13
371,8,2,2019,4,17,7,3.9,15,25
372,8,2,2019,4,17,7,6,45,52
373,8,2,2019,4,17,7,2.8,6,7.3
374,8,2,2019,4,17,7,6.2,9,10.5
375,8,2,2019,4,17,7,3.4,14,18.2
376,8,2,2019,4,17,7,5.5,17.8,20.5
377,8,2,2019,4,17,7,6.4,26,32
378,8,2,2019,4,17,7,1.8,5,6.5
379,8,6,2019,4,30,4,3,31,33
380,8,6,2019,4,30,4,4,10,11
381,8,6,2019,4,30,4,4,68,124
382,8,6,2019,4,30,8,5.6,32,41
383,8,6,2019,4,30,8,3,31.5,35
384,8,6,2019,4,30,8,6,55,58.2
385,8,7,2019,4,32,3,2.5,9,11
386,8,7,2019,4,32,3,4,13,14
387,8,7,2019,4,32,3,5.5,16,20
388,8,7,2019,4,32,3,5,57,98.5
389,8,7,2019,4,32,3,1.5,5,7.5
390,8,7,2019,4,32,3,5,27,32.5
391,8,7,2019,4,32,6,1.5,3,3.5
392,8,7,2019,4,32,6,3,6.4,8.7
393,8,7,2019,4,32,6,5,12,21
394,8,7,2019,4,32,6,9,85,97
395,8,7,2019,4,32,6,6,14.3,23
396,8,7,2019,4,34,5,5,38,47.2
397,8,7,2019,4,34,5,7.5,21,23
398,8,7,2019,4,34,5,7,61,125
399,8,7,2019,4,34,7,2,6,7
400,8,7,2019,4,34,7,7,15,16.5
401,8,7,2019,4,34,7,5.5,78,125
402,8,11,2019,4,37,1,9,31.2,53
403,8,11,2019,4,37,1,7,78,111
404,8,11,2019,4,37,2,3,4.5,5
405,8,11,2019,4,37,2,7,54,98
406,8,11,2019,4,37,2,9,28,33
407,8,11,2019,4,37,2,6,13,13.5
408,7,26,2019,5,7,5,7,17.8,28.8
409,7,26,2019,5,7,5,1.7,5,5.6
410,7,26,2019,5,7,5,5.7,15.5,27
411,7,26,2019,5,7,5,6,23.5,27
412,7,26,2019,5,7,5,6.5,57,69.5
413,7,26,2019,5,7,5,4.4,20,31
414,7,26,2019,5,7,1,8.4,30,30
415,7,26,2019,5,7,1,6,22.5,29.5
416,7,26,2019,5,7,1,5,37,40
417,7,26,2019,5,7,1,10,45,124.7
418,7,29,2019,5,10,4,4.8,21,22
419,7,29,2019,5,10,4,7,28,32.2
420,7,29,2019,5,10,4,7,50.3,59
421,7,29,2019,5,10,4,5.6,24,30
422,7,29,2019,5,10,4,4.4,18,23
423,7,29,2019,5,10,4,5,16.4,17
424,7,29,2019,5,10,4,6.9,14.2,17
425,7,29,2019,5,10,4,5.6,25.2,41
426,7,29,2019,5,10,1,8.5,53,61
427,7,29,2019,5,10,1,5.5,20,22
428,7,29,2019,5,10,1,2.3,8.6,11
429,7,29,2019,5,10,1,5.3,14.4,44.5
430,7,29,2019,5,10,1,4.9,60,63.5
431,7,29,2019,5,10,1,7.4,34.1,51.5
432,8,2,2019,5,16,4,4.4,13.3,14
433,8,2,2019,5,16,4,5,12.7,32
434,8,2,2019,5,16,4,8.7,73,76
435,8,2,2019,5,16,7,5.2,21.9,62
436,8,2,2019,5,16,7,10.3,71.3,76
437,8,2,2019,5,16,7,3.8,29.1,42
438,8,2,2019,5,16,7,3.6,11.8,26
439,8,2,2019,5,18,2,3.5,14.5,20.5
440,8,5,2019,5,18,2,8,19,31
441,8,5,2019,5,18,2,3,25,48.3
442,8,5,2019,5,18,2,3.7,16.7,18
443,8,5,2019,5,18,2,4,11.5,18.7
444,8,5,2019,5,18,2,4.2,26.6,37
445,8,5,2019,5,18,2,5,34,52
446,8,5,2019,5,18,5,2.5,7.3,7.4
447,8,5,2019,5,18,5,5.4,49.5,58
448,8,5,2019,5,18,5,9.5,66,77
449,8,5,2019,5,18,5,4,9,13
450,8,5,2019,5,21,5,2.9,7,9
451,8,5,2019,5,21,5,2,23,24
452,8,5,2019,5,21,5,4,24,36
453,8,5,2019,5,21,5,4.3,9,9.5
454,8,5,2019,5,21,5,6,54,60
455,8,5,2019,5,21,5,8,39,52
456,8,5,2019,5,21,6,5,14.7,16
457,8,5,2019,5,21,6,7.7,113,125
458,8,5,2019,5,21,6,6.6,11.5,12
459,8,5,2019,5,21,6,3,10.2,12
460,8,5,2019,5,27,4,4,15,29.1
461,8,5,2019,5,27,4,4,82,106
462,8,5,2019,5,27,4,5.3,10.7,21
463,8,5,2019,5,27,4,4.5,35.8,45
464,8,5,2019,5,27,4,1.7,8,9.8
465,8,5,2019,5,27,1,3,45.8,58
466,8,5,2019,5,27,1,2.9,14,17.5
467,8,5,2019,5,27,1,5.7,20,48.2
468,8,5,2019,5,27,1,5,27.2,69
469,8,5,2019,5,27,1,3,30,54
470,8,5,2019,5,27,1,3.5,27,56.7
471,8,6,2019,5,29,4,4,33,64
472,8,6,2019,5,29,4,3,16,17
473,8,6,2019,5,29,4,2.5,8,12.5
474,8,6,2019,5,29,4,5,10,11
475,8,6,2019,5,29,4,2.2,7.5,7.7
476,8,6,2019,5,29,4,3.5,11.7,12
477,8,6,2019,5,29,4,6.3,22,23
478,8,6,2019,5,29,4,7,38,42.7
479,8,6,2019,5,29,6,5,9.2,15
480,8,6,2019,5,29,6,6.5,55,98
481,8,6,2019,5,29,6,3,15.3,27
482,8,6,2019,5,29,6,4,60.2,92.5
483,8,6,2019,5,29,6,2.2,10.5,12
484,8,12,2019,5,39,4,5.3,14.2,24
485,8,12,2019,5,39,4,3.6,8,10
486,8,12,2019,5,39,4,5.5,55,125
487,8,12,2019,5,39,4,7,18,32.5