Plant,Month,Day,Year,Treatment,Plot,Quadrat,G_Height,G_X,G_Y
1,7,18,2019,1,2,7,6.8,3.7,4
2,7,18,2019,1,2,7,8,16.5,28.4
3,7,19,2019,1,2,7,1.4,7.7,8
4,7,19,2019,1,2,7,3,3,5.1
5,7,19,2019,1,2,7,16,5,7
6,7,19,2019,1,2,7,2.5,3.5,5.2
7,7,19,2019,1,2,7,8,12,13.2
8,7,19,2019,1,2,7,3.5,3.5,5.9
9,7,19,2019,1,2,7,10,11.2,11.5
10,7,19,2019,1,2,5,8.5,7.5,8.5
11,7,19,2019,1,2,5,24.6,20,27
12,7,19,2019,1,2,5,9,8.3,9.1
13,7,19,2019,1,2,5,10.5,12.6,14.5
14,7,19,2019,1,2,5,5,7,7.6
15,7,19,2019,1,2,5,5.7,8,8.5
16,7,19,2019,1,2,5,17,10,12.5
17,7,19,2019,1,2,5,16,16,22
18,7,25,2019,1,2,3,4,13.3,21
19,7,25,2019,1,2,3,9,38.4,46.5
20,7,25,2019,1,2,3,2,7.3,7.4
21,7,25,2019,1,2,3,10,19,22.5
22,7,25,2019,1,2,3,11,5,7
23,7,29,2019,1,3,8,8.5,8.2,13.4
24,7,29,2019,1,3,8,3,2,2.2
25,7,29,2019,1,3,8,8,5,5.8
26,7,29,2019,1,3,8,13,8,22.4
27,7,29,2019,1,3,8,7,3,4.8
28,7,29,2019,1,3,8,9.5,5.8,7
29,7,29,2019,1,3,8,7.5,4,7
30,7,29,2019,1,3,8,3,3.2,4
31,7,29,2019,1,3,8,12,9.5,10
32,7,29,2019,1,3,8,11,5,7.8
33,7,29,2019,1,3,8,15.3,24,29.5
34,7,29,2019,1,3,8,16,26.2,33
35,7,29,2019,1,3,8,5,10,12.2
36,7,29,2019,1,3,1,15.5,6,27.5
37,7,29,2019,1,3,1,19,38.2,55.6
38,7,29,2019,1,3,1,15.3,35.5,40
39,7,29,2019,1,3,1,12,5.1,7.2
40,7,29,2019,1,3,1,5,2.8,3
41,7,29,2019,1,3,1,10,6.3,6.3
42,7,29,2019,1,4,2,2,3.4,3.6
43,7,29,2019,1,4,2,12,32,44
44,7,29,2019,1,4,2,12.7,12,39
45,7,29,2019,1,4,2,19,14.5,15
46,7,29,2019,1,4,2,9,8.5,16
47,7,29,2019,1,4,6,14.5,24,37
48,7,29,2019,1,4,6,9,22,34.5
49,7,29,2019,1,4,6,9,4.3,5
50,7,29,2019,1,4,6,16.6,10,31.3
51,7,29,2019,1,4,6,5,6.5,7
52,7,29,2019,1,4,6,5.4,4,6
53,7,29,2019,1,4,6,1.5,4,7.1
54,7,31,2019,1,19,5,4.4,9.2,23
55,7,31,2019,1,19,5,9.9,17.7,52.4
56,7,31,2019,1,19,5,14.7,8,34.6
57,7,31,2019,1,19,5,8,9.1,9.5
58,7,31,2019,1,19,5,1.5,1.4,1.8
59,7,31,2019,1,19,5,11.8,21,23
60,7,31,2019,1,19,5,8,7.8,10.1
61,7,31,2019,1,19,5,10.2,10.5,11
62,7,31,2019,1,19,5,5,10.5,12
63,7,31,2019,1,19,5,5.5,2,2.6
64,7,31,2019,1,19,5,5.4,5.5,8.1
65,7,31,2019,1,19,2,5,9,12.3
66,7,31,2019,1,19,2,15,24.8,33
67,7,31,2019,1,19,2,3.3,5,5.5
68,7,31,2019,1,19,2,10,7.1,10.5
69,7,31,2019,1,19,2,5,16,22
70,7,31,2019,1,19,2,6.5,7,10
71,7,31,2019,1,19,2,8.5,9,16.4
72,8,5,2019,1,20,2,11,20,24
73,8,5,2019,1,20,2,10,22.6,34
74,8,5,2019,1,20,2,11.8,17,89
75,8,5,2019,1,20,2,6,5.1,12
76,8,5,2019,1,20,2,3,2.2,3.1
77,8,5,2019,1,20,2,5,3.5,3.8
78,8,5,2019,1,20,6,11.2,20,24.5
79,8,5,2019,1,20,6,5.5,4.9,7
80,8,5,2019,1,20,6,9,3.9,6.8
81,8,5,2019,1,20,6,15,13.2,24.8
82,8,5,2019,1,20,6,4,6.4,6.7
83,8,5,2019,1,20,6,22.5,21.2,28.8
84,8,5,2019,1,20,6,3,2.8,7.4
85,8,5,2019,1,20,6,5.4,5,6
86,8,5,2019,1,20,6,4,3.3,3.3
87,8,5,2019,1,20,6,10,10,11
88,8,5,2019,1,20,6,16,6,8
89,8,5,2019,1,20,6,6,4,8.1
90,8,5,2019,1,22,1,18,85.7,64.7
91,8,5,2019,1,22,1,8,17.4,21
92,8,5,2019,1,22,1,5,7.5,11
93,8,5,2019,1,22,1,2,10.5,14.8
94,8,5,2019,1,22,1,6,8.7,9
95,8,5,2019,1,22,1,16,11.8,18.6
96,8,5,2019,1,22,3,12,35.5,41.2
97,8,5,2019,1,22,3,13.6,10.2,15.8
98,8,5,2019,1,22,3,10,50.8,54
99,8,5,2019,1,22,3,9,11.1,12
100,8,5,2019,1,26,2,3.4,7,9.3
101,8,5,2019,1,26,2,7.6,13.5,16
102,8,5,2019,1,26,2,5,10.3,10.4
103,8,5,2019,1,26,2,8,10.6,12
104,8,5,2019,1,26,2,7.2,21,24
105,8,5,2019,1,26,2,3,2,3
106,8,5,2019,1,26,2,13.5,31,32
107,8,5,2019,1,26,2,3.5,5.5,7.1
108,8,5,2019,1,26,2,4.2,18,27.3
109,8,5,2019,1,26,2,12,4.5,10.6
110,8,5,2019,1,26,4,6.2,5.4,5.6
111,8,5,2019,1,26,4,2,5.8,6.5
112,8,5,2019,1,26,4,14,9,12.4
113,8,6,2019,1,26,4,11,32,32.9
114,8,6,2019,1,26,4,5,10.5,14.4
115,8,6,2019,1,26,4,2.5,3.3,4.5
116,8,6,2019,1,26,4,10,33.5,36
117,8,6,2019,1,26,4,9,4.3,4.3
118,8,6,2019,1,23,5,9,8.7,9.2
119,8,6,2019,1,23,5,3.5,8,9
120,8,6,2019,1,23,5,6.6,25,29
121,8,6,2019,1,23,5,9,4.1,12.2
122,8,6,2019,1,23,7,5.8,4,9.6
123,8,6,2019,1,23,7,2.5,5,9
124,8,6,2019,1,23,7,2.2,6.4,10.2
125,8,6,2019,1,23,7,4,5,12.5
126,8,6,2019,1,23,7,9.5,8,11
127,8,6,2019,1,23,7,2,4,4
128,8,6,2019,1,23,7,2,4.2,5.1
129,8,6,2019,1,23,7,1,4.3,5.5
130,8,6,2019,1,23,7,4,7.8,10.5
131,8,6,2019,1,23,7,5,7.1,11
132,8,6,2019,1,23,7,5,9.1,11.3
133,8,6,2019,1,23,7,7,13,14
134,8,6,2019,1,23,7,6,5.6,9.2
135,8,6,2019,1,23,7,12,6.3,10.5
136,7,25,2019,2,5,5,4.3,8.1,8.2
137,7,25,2019,2,5,5,7,13,14
138,7,25,2019,2,5,5,8,5,6.2
139,7,25,2019,2,5,5,13.5,94,95
140,7,25,2019,2,5,6,4,8.5,9
141,7,25,2019,2,5,6,17,14,28
142,7,25,2019,2,5,6,23,22,51
143,7,25,2019,2,5,6,5,4.9,6.2
144,7,25,2019,2,5,6,15.7,8.4,16.7
145,7,25,2019,2,5,6,8.3,7.4,9.2
146,7,25,2019,2,5,6,7,14.8,18.4
147,7,25,2019,2,5,1,13,15,22.2
148,7,25,2019,2,5,1,12.8,35.1,43.2
149,7,25,2019,2,5,1,5,8.7,11.6
150,7,25,2019,2,5,1,12.5,15.3,24.7
151,7,25,2019,2,5,1,7,3,3
152,7,25,2019,2,5,1,7.8,9.8,11.5
153,7,25,2019,2,5,1,9,14.7,18.6
154,7,29,2019,2,9,4,10,23,32.8
155,7,29,2019,2,9,4,12,10.8,14.5
156,7,29,2019,2,9,4,13,21,50
157,7,29,2019,2,9,8,12.8,21,44.4
158,7,29,2019,2,9,8,3.6,5.8,6
159,7,29,2019,2,9,8,3,6.2,10.5
160,7,29,2019,2,9,8,7.2,42,69
161,7,29,2019,2,9,8,14,7.4,11
162,7,30,2019,2,11,3,3.9,23,25
163,7,30,2019,2,11,3,9.8,10,15.5
164,7,30,2019,2,11,3,4.7,9,15
165,7,30,2019,2,11,3,13,55.7,60.5
166,7,30,2019,2,11,3,1.8,4.3,9.1
167,7,30,2019,2,11,3,10.9,5.7,6.3
168,7,30,2019,2,11,1,3,7.2,9.8
169,7,30,2019,2,11,1,7,16.2,23.2
170,7,30,2019,2,11,1,15.2,11.2,17.6
171,7,30,2019,2,11,1,14.5,17,20.4
172,7,30,2019,2,11,1,12.5,10.5,11
173,7,31,2019,2,14,2,6.5,15.2,15.3
174,7,31,2019,2,14,2,3,16.4,19
175,7,31,2019,2,14,2,6,7.8,19.5
176,7,31,2019,2,14,2,5.5,23.7,27.7
177,7,31,2019,2,14,2,3.5,8.9,11.3
178,7,31,2019,2,14,2,15,36,50
179,7,31,2019,2,14,2,5,5.5,23
180,7,31,2019,2,14,6,10,8.8,19.3
181,7,31,2019,2,14,6,9,6,7
182,7,31,2019,2,14,6,5.5,4,7.7
183,7,31,2019,2,14,6,18,18.3,26
184,7,31,2019,2,14,6,14,19,35
185,7,31,2019,2,14,6,13.5,64.7,72
186,8,6,2019,2,25,3,11,73.6,81.2
187,8,6,2019,2,25,3,8.4,31,45.4
188,8,6,2019,2,25,6,3.5,5.2,7.4
189,8,6,2019,2,25,6,13,24.7,32
190,8,6,2019,2,25,6,10,24,30.3
191,8,6,2019,2,25,6,13.7,45,72
192,8,6,2019,2,25,6,10.3,27.9,44.3
193,8,6,2019,2,25,6,4.5,14,15
194,8,6,2019,2,31,1,3,14,17.8
195,8,6,2019,2,31,1,11,16,20
196,8,6,2019,2,31,1,4,4.4,5.4
197,8,6,2019,2,31,1,3.1,4.1,6.8
198,8,6,2019,2,31,1,3,4.5,5
199,8,6,2019,2,31,1,6,15,15.2
200,8,6,2019,2,31,1,13,64,84
201,8,6,2019,2,31,2,5,7,8.8
202,8,6,2019,2,31,2,4,24.2,25.6
203,8,6,2019,2,31,2,3.5,7.3,8
204,8,6,2019,2,31,2,1.5,5.1,5.5
205,8,6,2019,2,31,2,3.2,3.8,5.2
206,8,6,2019,2,31,2,3,8.3,11.3
207,8,6,2019,2,31,2,7,67,69
208,8,7,2019,2,33,3,3,2.6,4.5
209,8,7,2019,2,33,3,13,73.3,95
210,8,7,2019,2,33,3,7,10.2,13.5
211,8,7,2019,2,33,3,10,20.5,28.4
212,8,7,2019,2,33,6,7.5,8,29
213,8,7,2019,2,33,6,11,20,55
214,8,7,2019,2,33,6,9,6,9.7
215,8,7,2019,2,33,6,13,8,10
216,8,7,2019,2,33,6,4,4.8,7.5
217,8,7,2019,2,33,6,9,5,16
218,8,7,2019,2,33,6,9.5,7.1,7.3
219,8,7,2019,2,33,6,4,2.6,3.5
220,8,7,2019,2,33,6,11,11,12.8
221,8,7,2019,2,33,6,22.5,28,50
222,8,12,2019,2,38,3,2.2,4,5.8
223,8,12,2019,2,38,3,3,5.2,6.5
224,8,12,2019,2,38,3,6.8,9,13
225,8,12,2019,2,38,3,6,14.3,23.7
226,8,12,2019,2,38,3,7.5,9.4,10.4
227,8,12,2019,2,38,3,7,18,41
228,8,12,2019,2,38,3,6,14.3,22.5
229,8,12,2019,2,38,3,7,8,32
230,8,12,2019,2,38,5,11.5,6,12.5
231,8,12,2019,2,38,5,7,21.3,30.2
232,8,12,2019,2,38,5,3,6.3,13
233,8,12,2019,2,38,5,4,4,6.4
234,8,12,2019,2,38,5,8,10,13
235,7,26,2019,3,6,8,12.2,23,60.5
236,7,26,2019,3,6,8,12,5.2,8
237,7,26,2019,3,6,8,15,4.8,5.6
238,7,26,2019,3,6,8,3,7,9.4
239,7,26,2019,3,6,8,22,23.3,48.5
240,7,26,2019,3,6,8,2,7,8.7
241,7,26,2019,3,6,8,16,33.3,78
242,7,26,2019,3,6,8,18,28,30.2
243,7,26,2019,3,6,2,9,5.2,6.2
244,7,26,2019,3,6,2,20,14,15.7
245,7,26,2019,3,6,2,18,36.8,49.4
246,7,26,2019,3,6,2,11,4.5,5.3
247,7,26,2019,3,6,2,16,10.5,13.7
248,7,26,2019,3,6,2,8,5,8.7
249,7,30,2019,3,13,4,7.5,5,6
250,7,30,2019,3,13,4,9,8.6,9.3
251,7,30,2019,3,13,4,7.4,9.2,13
252,7,30,2019,3,13,4,9.5,6.1,10.5
253,7,30,2019,3,13,4,6,5,5.8
254,7,30,2019,3,13,4,15.5,59,61
255,7,30,2019,3,13,4,19.8,34,42.8
256,7,30,2019,3,13,7,6,7.4,8.5
257,7,30,2019,3,13,7,8,17,24.3
258,7,30,2019,3,13,7,17,44.3,67.6
259,7,30,2019,3,13,7,17.4,52,61.5
260,7,30,2019,3,13,7,10.4,7.6,8.4
261,7,31,2019,3,15,6,3.7,6.5,17
262,7,31,2019,3,15,6,18,19.2,20.2
263,7,31,2019,3,15,6,17.4,32.3,53
264,7,31,2019,3,15,6,18.5,62,70
265,7,31,2019,3,15,6,4,6.3,7.1
266,7,31,2019,3,15,7,10.2,6.3,8
267,7,31,2019,3,15,7,5,4,4.5
268,7,31,2019,3,15,7,7,6.6,8
269,7,31,2019,3,15,7,13,11.4,11.5
270,7,31,2019,3,15,7,19.5,81,124
271,8,6,2019,3,24,5,12,13,25.7
272,8,6,2019,3,24,5,15,87,117
273,8,6,2019,3,24,5,9,8.2,13.5
274,8,6,2019,3,24,6,6,6,9.6
275,8,6,2019,3,24,6,7,8,8.3
276,8,6,2019,3,24,6,13,80,91
277,8,6,2019,3,28,5,5,9,9.5
278,8,6,2019,3,28,5,13,30,50
279,8,6,2019,3,28,5,17,10.5,13
280,8,6,2019,3,28,5,8.8,8,21
281,8,6,2019,3,28,5,17,40,45.7
282,8,6,2019,3,28,5,15,25,40.8
283,8,6,2019,3,28,8,3,4.4,5
284,8,6,2019,3,28,8,19,73,95
285,8,6,2019,3,28,8,3.5,17,18
286,8,6,2019,3,28,8,12.3,12,13
287,8,7,2019,3,40,1,5,8.5,8.7
288,8,7,2019,3,40,1,3.5,6,9
289,8,7,2019,3,40,1,5.4,4.5,9.6
290,8,7,2019,3,40,1,6,14.5,19
291,8,7,2019,3,40,1,3,5.3,6.3
292,8,7,2019,3,40,1,12,39,53
293,8,7,2019,3,40,6,13,8,8.2
294,8,7,2019,3,40,6,6,5,8
295,8,7,2019,3,40,6,4.5,13.5,26
296,8,7,2019,3,40,6,8,35.6,45
297,8,7,2019,3,40,6,12,11,14
298,8,7,2019,3,40,6,7,4.7,5
299,8,7,2019,3,40,6,10,29,37
300,8,11,2019,3,35,2,3.5,2.2,3.1
301,8,11,2019,3,35,2,6.5,4.4,7.3
302,8,11,2019,3,35,2,1.3,5.5,5.7
303,8,11,2019,3,35,2,9,8,9.1
304,8,11,2019,3,35,2,8.5,10.5,20
305,8,11,2019,3,35,2,9,5.3,10.1
306,8,11,2019,3,35,2,10,11.3,15.5
307,8,11,2019,3,35,2,15,32.6,70.2
308,8,11,2019,3,35,7,10.3,31.2,40
309,8,11,2019,3,35,7,2,6.7,8
310,8,11,2019,3,35,7,6,12,18.3
311,8,11,2019,3,35,7,11,60,98
312,8,11,2019,3,36,3,11,36,40
313,8,11,2019,3,36,3,7,8,8
314,8,11,2019,3,36,3,9,8.2,27.2
315,8,11,2019,3,36,3,16,32.7,50
316,8,11,2019,3,36,3,13.5,26.9,37
317,8,11,2019,3,36,3,4,3,3
318,8,11,2019,3,36,3,8,7,10
319,8,11,2019,3,36,7,3,5.2,8.6
320,8,11,2019,3,36,7,5,21,25
321,8,11,2019,3,36,7,9,11,14.8
322,8,11,2019,3,36,7,9,5.3,7.6
323,8,11,2019,3,36,7,7.5,5.4,5.7
324,8,11,2019,3,36,7,11,36.2,42
325,8,11,2019,3,36,7,4,3.5,4.5
326,8,11,2019,3,36,7,6,4.4,5
327,7,18,2019,4,1,4,11.6,28,56
328,7,18,2019,4,1,4,9.5,10,15.5
329,7,18,2019,4,1,4,4,4,4.5
330,7,18,2019,4,1,4,6.5,4,8
331,7,18,2019,4,1,4,15,60.5,103
332,7,18,2019,4,1,4,14,23.8,62.5
333,7,18,2019,4,1,1,10,18.2,24.6
334,7,18,2019,4,1,1,14.5,14.5,35.5
335,7,18,2019,4,1,1,8.5,5.3,10.4
336,7,18,2019,4,1,1,4.7,7.4,11.4
337,7,18,2019,4,1,1,20,65.6,101.5
338,7,18,2019,4,1,1,13,23.2,25.5
339,7,25,2019,4,1,3,13,3.6,3.9
340,7,25,2019,4,1,3,3,2,2.3
341,7,25,2019,4,1,3,9,22.5,42
342,7,25,2019,4,1,3,4,4.3,6
343,7,25,2019,4,1,3,14,14.1,37.5
344,7,25,2019,4,1,3,15,12,14
345,7,25,2019,4,1,3,10,7,8.3
346,7,25,2019,4,1,3,17,25,50
347,7,29,2019,4,8,5,30,43,72
348,7,29,2019,4,8,5,18,39.5,45.6
349,7,29,2019,4,8,5,22,20,20.6
350,7,29,2019,4,8,4,4.9,8.2,12
351,7,29,2019,4,8,4,12.2,32,43
352,7,29,2019,4,8,4,16,49,72
353,7,30,2019,4,12,6,14,12,21.2
354,7,30,2019,4,12,6,3.5,4,5.5
355,7,30,2019,4,12,6,12,22.3,28.4
356,7,30,2019,4,12,6,20,40,124.5
357,7,30,2019,4,12,7,13.2,40.7,59
358,7,30,2019,4,12,7,11.9,56.3,71.2
359,7,30,2019,4,12,7,24,38.9,41.5
360,7,30,2019,4,12,7,11.7,9,10.7
361,7,30,2019,4,12,7,7,4,5
362,8,2,2019,4,17,5,11.8,12.3,14
363,8,2,2019,4,17,5,3.6,2.4,4.5
364,8,2,2019,4,17,5,2,3.3,4.6
365,8,2,2019,4,17,5,7,5.5,9.2
366,8,2,2019,4,17,5,25,21.5,22
367,8,2,2019,4,17,5,9.7,8,18.2
368,8,2,2019,4,17,5,6,4.6,8.7
369,8,2,2019,4,17,5,17,14.4,29
370,8,2,2019,4,17,5,13,5.1,7.2
371,8,2,2019,4,17,7,4.6,12,18.2
372,8,2,2019,4,17,7,20,32,44.3
373,8,2,2019,4,17,7,6.5,4.2,5.2
374,8,2,2019,4,17,7,6.5,5,6
375,8,2,2019,4,17,7,9,10.2,13
376,8,2,2019,4,17,7,12,11,12.5
377,8,2,2019,4,17,7,10,21,22.3
378,8,2,2019,4,17,7,5.2,3,3.2
379,8,6,2019,4,30,4,8,23.4,30.2
380,8,6,2019,4,30,4,4.5,7,8
381,8,6,2019,4,30,4,8.2,66,119
382,8,6,2019,4,30,8,12,26.4,38
383,8,6,2019,4,30,8,11.5,27.3,28.4
384,8,6,2019,4,30,8,8,39,56.4
385,8,7,2019,4,32,3,3,5.4,7.6
386,8,7,2019,4,32,3,7.4,10.8,11
387,8,7,2019,4,32,3,8,10,14.5
388,8,7,2019,4,32,3,16.5,50,91.7
389,8,7,2019,4,32,3,4,3.3,4
390,8,7,2019,4,32,3,11,23,31
391,8,7,2019,4,32,6,2,2,2.9
392,8,7,2019,4,32,6,2.5,3.6,5
393,8,7,2019,4,32,6,8,9,18.4
394,8,7,2019,4,32,6,14,78,87
395,8,7,2019,4,32,6,9,11,15.5
396,8,7,2019,4,34,5,18,36,45.2
397,8,7,2019,4,34,5,22,11,19
398,8,7,2019,4,34,5,12,57,118
399,8,7,2019,4,34,7,1.5,4,5.5
400,8,7,2019,4,34,7,12,10,11
401,8,7,2019,4,34,7,13.6,72,115
402,8,11,2019,4,37,1,15,28.1,44
403,8,11,2019,4,37,1,11,74,107
404,8,11,2019,4,37,2,4.5,3,3.5
405,8,11,2019,4,37,2,16,47,94
406,8,11,2019,4,37,2,9,15,28.3
407,8,11,2019,4,37,2,7,8,8
408,7,26,2019,5,7,5,9,13.4,24
409,7,26,2019,5,7,5,6.6,3.2,3.6
410,7,26,2019,5,7,5,23,12,22.7
411,7,26,2019,5,7,5,19.5,12,13
412,7,26,2019,5,7,5,15.3,52.3,54
413,7,26,2019,5,7,5,15,14.5,28.5
414,7,26,2019,5,7,1,7,10,11
415,7,26,2019,5,7,1,12,13,13
416,7,26,2019,5,7,1,15,32.8,33.7
417,7,26,2019,5,7,1,21,32,120
418,7,29,2019,5,10,4,15,15,16
419,7,29,2019,5,10,4,16.8,23,23
420,7,29,2019,5,10,4,18.5,42,47.8
421,7,29,2019,5,10,4,9.5,20,27.4
422,7,29,2019,5,10,4,9,15,16
423,7,29,2019,5,10,4,13,12,13
424,7,29,2019,5,10,4,11.4,6.5,13.6
425,7,29,2019,5,10,4,15,21,34
426,7,29,2019,5,10,1,16,50.6,57
427,7,29,2019,5,10,1,10,13,18.6
428,7,29,2019,5,10,1,5.4,6.7,8
429,7,29,2019,5,10,1,9,12.4,38.6
430,7,29,2019,5,10,1,14,47,60
431,7,29,2019,5,10,1,15,29.5,47
432,8,2,2019,5,16,4,10,9.4,10.4
433,8,2,2019,5,16,4,11,10.8,21.6
434,8,2,2019,5,16,4,26,52,61
435,8,2,2019,5,16,7,11,13.9,41
436,8,2,2019,5,16,7,15,63,78
437,8,2,2019,5,16,7,14.4,16.2,37.3
438,8,2,2019,5,16,7,8,4,26
439,8,2,2019,5,18,2,11.5,9,15
440,8,5,2019,5,18,2,15.5,10.3,11.8
441,8,5,2019,5,18,2,16,12,41.2
442,8,5,2019,5,18,2,1,11,15
443,8,5,2019,5,18,2,2,7.8,10
444,8,5,2019,5,18,2,12.8,22.5,30
445,8,5,2019,5,18,2,20,26.6,44.2
446,8,5,2019,5,18,5,3,3.8,4.2
447,8,5,2019,5,18,5,11.8,40,55
448,8,5,2019,5,18,5,10,59.5,63
449,8,5,2019,5,18,5,3,5,8.2
450,8,5,2019,5,21,5,5,5.8,6.6
451,8,5,2019,5,21,5,17,18.4,22
452,8,5,2019,5,21,5,8,22,34
453,8,5,2019,5,21,5,9,5,5
454,8,5,2019,5,21,5,13,40,56.5
455,8,5,2019,5,21,5,19,30.2,49
456,8,5,2019,5,21,6,9,9,10
457,8,5,2019,5,21,6,19,108,125
458,8,5,2019,5,21,6,4.5,7,7.3
459,8,5,2019,5,21,6,13,6,7
460,8,5,2019,5,27,4,14,21.5,26.5
461,8,5,2019,5,27,4,18,76.5,100
462,8,5,2019,5,27,4,7,6.6,9.4
463,8,5,2019,5,27,4,12,30.5,43
464,8,5,2019,5,27,4,6.5,6.3,8
465,8,5,2019,5,27,1,18,42.6,54
466,8,5,2019,5,27,1,7,12,13
467,8,5,2019,5,27,1,23,12,44.5
468,8,5,2019,5,27,1,12,23,68
469,8,5,2019,5,27,1,19,25,47.4
470,8,5,2019,5,27,1,14.5,24.4,52
471,8,6,2019,5,29,4,7.6,30.5,61.4
472,8,6,2019,5,29,4,7,12,13.3
473,8,6,2019,5,29,4,8,7,10
474,8,6,2019,5,29,4,2,8.1,8.8
475,8,6,2019,5,29,4,3.6,4.1,4.3
476,8,6,2019,5,29,4,8,8,9.4
477,8,6,2019,5,29,4,8,10,21
478,8,6,2019,5,29,4,12.5,35,35.7
479,8,6,2019,5,29,6,3.5,6.6,12.7
480,8,6,2019,5,29,6,13,42,86
481,8,6,2019,5,29,6,7,14.6,23.2
482,8,6,2019,5,29,6,16,53.2,84.3
483,8,6,2019,5,29,6,15,5.5,9
484,8,12,2019,5,39,4,7,7.6,14
485,8,12,2019,5,39,4,5.5,6,6.4
486,8,12,2019,5,39,4,11,50,119
487,8,12,2019,5,39,4,12,15,23.6